"","Soil_ID","Block","Treatment","Weight_g","Weight_kg","value","POXC_mgkgsoil"
"1","10A","Block_20","Adjacent",2.5,0.0025,0.298666665951411,257.112612919481
"2","10U","Block_20","Under",2.51,0.00251,0.299266666173935,253.308110282773
"3","13A","Block_20","Adjacent",2.54,0.00254,0.319033334652583,159.807600896697
"4","13U","Block_20","Under",2.52,0.00252,0.308066666126251,211.689214874637
"5","17A","Block_21","Adjacent",2.51,0.00251,0.322966665029526,143.492247224299
"6","17U","Block_21","Under",2.52,0.00252,0.305366675059001,224.150196685636
"7","19A","Block_20","Adjacent",2.5,0.0025,0.31866666674614,164.070303876632
"8","19U","Block_20","Under",2.48,0.00248,0.32586665948232,131.628132806766
"9","28A","Block_21","Adjacent",2.51,0.00251,0.3125,191.990386847211
"10","28U","Block_21","Under",2.53,0.00253,0.299233337243398,251.458886117092
"11","30A","Block_21","Adjacent",2.52,0.00252,0.304099996884664,229.996161837985
"12","30U","Block_21","Under",2.54,0.00254,0.300066659847895,246.653228286951
"13","32A","Block_20","Adjacent",2.49,0.00249,0.317166656255722,171.735467449989
"14","32U","Block_20","Under",2.49,0.00249,0.30389999349912,233.701375437837
"15","34A","Block_21","Adjacent",2.54,0.00254,0.278800000747045,344.030147073556
"16","34U","Block_21","Under",2.55,0.00255,0.28413333495458,318.356219543463
"17","40A","Block_21","Adjacent",2.54,0.00254,0.26653332511584,400.197459064452
"18","40U","Block_21","Under",2.51,0.00251,0.306933333476384,217.783986769911
"19","5A","Block_20","Adjacent",2.51,0.00251,0.305400003989538,224.888793060287
"20","5U","Block_20","Under",2.51,0.00251,0.325166672468185,133.298334680945
"21","6A","Block_20","Adjacent",2.51,0.00251,0.30460000038147,228.59567453337
"22","6U","Block_20","Under",2.5,0.0025,0.3057000041008,224.392713134739
"23","7A","Block_21","Adjacent",2.52,0.00252,0.316266665856044,173.84462763784
"24","7U","Block_21","Under",2.51,0.00251,0.307900001605352,213.30485174883
